#separator:;
#html:true
#tags column:3
What is a deadlock and why is it harder to detect than a crash?;A deadlock occurs when two or more goroutines are waiting for each other to release resources, and none of them can proceed.<br><br>It is harder to detect than a crash because the application doesn't terminate with an error — instead, it silently stops processing requests (e.g. API timeouts).<br><br>Go's runtime only detects a deadlock when ALL goroutines are blocked. A partial deadlock (e.g. 2 out of 50 goroutines) remains undetected by the runtime.;go::mutex deadlocks
What are the four necessary conditions for a deadlock to occur?;<ul><li><b>Incorrect lock ordering:</b> Two goroutines lock the same resources (A and B) in different order, leading to mutual blocking</li><li><b>Double locking:</b> Locking the same Mutex twice from the same goroutine</li><li><b>Forgotten unlock:</b> Forgetting to call Unlock(), permanently blocking access for other goroutines</li><li><b>RWMutex trap:</b> A waiting writer blocks new readers, which with nested read calls can cause a deadlock</li></ul>;go::mutex deadlocks
What happens if two goroutines lock resources A and B in opposite order?;A mutual deadlock occurs. Goroutine 1 locks resource A and waits for B, while Goroutine 2 locks resource B and waits for A. Neither can proceed because each holds the resource the other needs.<br><br><b>Solution:</b> always lock resources in the same order (e.g. A first, then B).;go::mutex deadlocks
How does a deadlock occur when the same goroutine calls Lock() twice on the same mutex?;<code>sync.Mutex</code> in Go is not reentrant (does not support nested locking). When a goroutine calls <code>Lock()</code> on a mutex it already holds — it blocks forever, waiting for an <code>Unlock()</code> that will never happen because it is blocked itself.;go::mutex deadlocks
Why can forgetting Unlock() silently break an application?;If a goroutine doesn't call <code>Unlock()</code>, the mutex stays locked forever. Every subsequent goroutine trying to <code>Lock()</code> will block. The application doesn't crash — it just silently stops processing requests that use that resource.<br><br>Always use <code>defer mu.Unlock()</code> right after <code>Lock()</code>.;go::mutex deadlocks
Why can RWMutex lead to deadlocks with nested read operations?;When a goroutine holds an <code>RLock()</code> and tries to acquire another <code>RLock()</code>, while a writer is waiting for <code>Lock()</code> in between — a deadlock occurs. The writer blocks new readers, so the nested <code>RLock()</code> will never be granted, and the first <code>RLock()</code> will never be released.;go::mutex deadlocks
What happens when a writer is waiting in an RWMutex?;When a writer is waiting for <code>Lock()</code> on an RWMutex, new readers (<code>RLock()</code>) are blocked — even if other readers are still active. This prevents writer starvation, but means a waiting writer halts all new read traffic.;go::mutex deadlocks
How can you detect a deadlock in Go (tools / symptoms)?;<ul><li><b>Runtime:</b> Go detects full deadlocks automatically: "fatal error: all goroutines are asleep - deadlock!"</li><li><b>Partial deadlock:</b> Runtime won't detect it — symptoms are API timeouts, hanging goroutines</li><li><b>go vet / staticcheck:</b> static code analysis</li><li><b>pprof:</b> goroutine dump (<code>/debug/pprof/goroutine</code>) shows blocked goroutines</li><li><b>Race detector:</b> <code>go run -race</code> detects races, though not deadlocks directly</li></ul>;go::mutex deadlocks
How would you design code to avoid deadlocks?;<ul><li>Consistent lock ordering: always lock resources in the same order</li><li><code>defer Unlock()</code>: release the lock immediately after Lock()</li><li>Minimize critical section: hold the lock for as short as possible</li><li>Avoid nested locks: don't call Lock/RLock while holding another lock</li><li>Prefer channels for complex pipeline coordination</li><li>Use <code>context.WithTimeout</code> for operations that might block</li></ul>;go::mutex deadlocks
What happens to sync.Mutex performance under high contention (e.g. 3400+ goroutines)?;sync.Mutex performance drops drastically when competing goroutines exceed ~3400. This is due to the overhead of <code>runtime.gopark</code> and expensive context switching by the scheduler.<br><br>Mutexes also scale poorly with a large number of CPU cores compared to lock-free solutions.;go::mutex performance contention
When should you use sync/atomic instead of sync.Mutex?;For simple operations like counters, <code>sync/atomic</code> is <b>2-3x faster</b> than Mutex.<br><br>Use <code>sync/atomic</code> for simple atomic operations on single variables (increment, load, store).<br>Use Mutex when protecting a larger critical section with multiple operations.;go::mutex performance contention
Why can overusing Mutexes make Go code harder to maintain?;Mutexes require manual lock management, which is prone to human error — it's easy to forget <code>Unlock()</code> or misuse read/write locks in RWMutex.<br><br>Overusing Mutexes instead of channels for coordinating complex task pipelines makes the code less readable and harder for other engineers to understand.;go::mutex complexity maintainability
Why doesn't Go's sync.Mutex support Try-Lock or timeouts?;<code>sync.Mutex</code> is a low-level, intentionally minimalist primitive. It lacks:<br><br><b>Try-Lock:</b> No native method to check if a lock is available without blocking the goroutine (can be implemented manually).<br><br><b>Timeouts:</b> No way to specify a maximum wait time for a lock, forcing developers to use more complex patterns with <code>context</code> and <code>select</code>.;go::mutex missing-features
What is priority inversion and how can it affect goroutines using Mutexes?;Priority inversion occurs when a low-priority goroutine holds a lock, preventing high-priority critical goroutines from executing.<br><br>Without proper priority inheritance protocols, Mutexes can make it impossible to guarantee task execution deadlines in time-constrained systems.;go::mutex priority-inversion
